LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
H19	miR-373	CXCR4	27809873	qPCR, Western blot, RIP, Luciferase reporter assay
H19	miR-675	EGR1	26376677	qPCR, RNAi, Western blot, ChIP, Dual-luciferase reporter assay, Cell proliferation assay etc.
H19	miR-675	c-Cbl	26353930	qPCR, RNAi, Flow cytometry assay, Cell proliferation assay etc.
H19	miR-675	Cbl-b	26353930	qPCR, RNAi, Flow cytometry assay, Cell proliferation assay etc.
H19	miR-675	RUNX1	24388988	qPCR, RNAi, Western blot etc.
H19	miR-675	ISM1	24810858	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
H19	let-7	HMGA2	24920070	qPCR, RNAi, Western blot etc.
H19	miR-200a	hnRNP	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200b	hnRNP	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200c	hnRNP	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-141	hnRNP	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-429	hnRNP	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200a	ZEB1	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200b	ZEB1	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200c	ZEB1	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-141	ZEB1	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-429	ZEB1	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200a	ZEB2	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200b	ZEB2	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-200c	ZEB2	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-141	ZEB2	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-429	ZEB2	23222811	qPCR, Western blot, Northern blot, RIP, in vitro knockdown etc.
H19	miR-675	RB	19926638	qPCR, Northern blot, ISH etc.
H19	miR-675	RB	19926638	qPCR, Northern blot, ISH etc.
HNF1A-AS1	miR-30b	Bcl-2	27084450	qPCR, Western blot etc.
HOTAIR	miR-326	Phox2a	27186394	qPCR, Western blot, Flow cytometry assay etc.
HOTAIR	miR-214	PIK3R3	26826873	qPCR, RNAi, Western blot, Cell proliferation assay etc.
HOTAIR	miR-217	PIK3R3	26826873	qPCR, RNAi, Western blot, Cell proliferation assay etc.
HOTAIR	miR-148a	HOTAIR modulated human leucocyte antigen-G (HLA-G)	27574106	qPCR, RNAi, Western blot etc.
HOTAIR	miR-1	CCND1	27816685	qPCR, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.
HOTAIR	miR-126	VEGFA, PIK3R2	27900563	qPCR, RNAi, Western blot, Luciferase reporter assay, Flow cytometry assay etc.
HOTAIR	miR-148b-3p	HOTAIR gene sequence	27446363	qPCR, RNAi, Luciferase reporter assay, Flow cytometry assay etc.
H19	miR-21	EGFR	29719612	qPCR,RNAi etc
H19	miR-21	KLF4	29719612	qPCR,RNAi etc
H19	miR-21	DNMT1	29719612	qPCR,RNAi etc
H19	miR-21	AGO4	29719612	qPCR,RNAi etc
CTNNAP1	miR-141	CTNNA1	27487124	qPCR, Cell transfection, Luciferase reporter assay, Flow cytometry assay, Cell proliferation assay etc.
ENST00000518554	miR-15a	PPP3CA	27600337	microarray, qPCR etc.
ENST00000520186	miR-21	PPP3CA	27600337	microarray, qPCR etc.
ENST00000547415	miR-29b	PPP3CA	27600337	microarray, qPCR etc.
ENST00000559981	miR-29c	PPP3CA	27600337	microarray, qPCR etc.
FGFR3-AS	miR-374a	P21	29463348	RT-qPCR, Western blot, in vitro knockdown
FGFR3-AS	miR-374a	CYCLIN D1	29463348	RT-qPCR, Western blot, in vitro knockdown
FTX	miR-545	RIG-I	26992218	qPCR, RNAi, Western blot, Cell proliferation assay, MTT assay etc.
GAS5	miR-103	AKT	27743383	qPCR, RNAi, Western blot, Dual-luciferase reporter assay, Cell proliferation assay, ISH etc.
GAS5	miR-103	mTOR	27743383	qPCR, RNAi, Western blot, Dual-luciferase reporter assay, Cell proliferation assay, ISH etc.
GAS5	miR-103	S6K1	27743383	qPCR, RNAi, Western blot, Dual-luciferase reporter assay, Cell proliferation assay, ISH etc.
GCASPC	miR-17-3p	pyruvate carboxylase coding gene	27450454	qPCR, RIP, RNA pull-down assay, Mass Spetcrometry etc.
H19	miR-675	p53 activation	26198047	qPCR, RNAi, Western blot, Luciferase reporter assay etc.
H19	miR-138	ZEB1	26068968	qPCR, Western blot, RIP, Luciferase reporter assay etc.
H19	miR-138	ZEB1	26068968	qPCR, Western blot, RIP, Luciferase reporter assay etc.
H19	miR-200a	ZEB2	26068968	qPCR, Western blot, RIP, Luciferase reporter assay etc.
H19	miR-200a	ZEB2	26068968	qPCR, Western blot, RIP, Luciferase reporter assay etc.
H19	miR-675	AKT	24939300	qPCR, RNAi, Western blot etc.
H19	miR-675	GSK-3汕	24939300	qPCR, RNAi, Western blot etc.
H19	miR-675	Cdc25A	24939300	qPCR, RNAi, Western blot etc.
